difficulty,boulder_name,route_name,is_listed
1,1a/V0,2b/5.1,0
2,1b/V0,2c/5.2,0
3,1c/V0,3a/5.3,0
4,2a/V0,3b/5.3,0
5,2b/V0,3c/5.4,0
6,2c/V0,4a/5.5,0
7,3a/V0,4b/5.6,0
8,3b/V0,4c/5.7,0
9,3c/V0,5a/5.8,0
10,4a/V0,5b/5.9,1
11,4b/V0,5c/5.10a,1
12,4c/V0,6a/5.10b,1
13,5a/V1,6a+/5.10c,1
14,5b/V1,6b/5.10d,1
15,5c/V2,6b+/5.11a,1
16,6a/V3,6c/5.11b,1
17,6a+/V3,6c+/5.11c,1
18,6b/V4,7a/5.11d,1
19,6b+/V4,7a+/5.12a,1
20,6c/V5,7b/5.12b,1
21,6c+/V5,7b+/5.12c,1
22,7a/V6,7c/5.12d,1
23,7a+/V7,7c+/5.13a,1
24,7b/V8,8a/5.13b,1
25,7b+/V8,8a+/5.13c,1
26,7c/V9,8b/5.13d,1
27,7c+/V10,8b+/5.14a,1
28,8a/V11,8c/5.14b,1
29,8a+/V12,8c+/5.14c,1
30,8b/V13,9a/5.14d,1
31,8b+/V14,9a+/5.15a,1
32,8c/V15,9b/5.15b,1
33,8c+/V16,9b+/5.15c,1
34,9a/V17,9c/5.15d,0
35,9a+/V18,9c+/5.16a,0
36,9b/V19,10a/5.16b,0
37,9b+/V20,10a+/5.16c,0
38,9c/V21,10b/5.16d,0
39,9c+/V22,10b+/5.17a,0
