,x,y
1379,60,31
1380,120,31
1381,180,31
1382,240,31
1383,300,31
1384,360,31
1385,420,31
1386,480,31
1387,540,31
1388,600,31
1389,660,31
1390,720,31
1391,780,31
1392,840,31
1393,900,31
1394,960,31
1395,1020,31
1362,60,91
1363,120,91
1364,180,91
1365,240,91
1366,300,91
1367,360,91
1368,420,91
1369,480,91
1370,540,91
1371,600,91
1372,660,91
1373,720,91
1374,780,91
1375,840,91
1376,900,91
1377,960,91
1378,1020,91
1345,60,151
1346,120,151
1347,180,151
1348,240,151
1349,300,151
1350,360,151
1351,420,151
1352,480,151
1353,540,151
1354,600,151
1355,660,151
1356,720,151
1357,780,151
1358,840,151
1359,900,151
1360,960,151
1361,1020,151
1328,60,211
1329,120,211
1330,180,211
1331,240,211
1332,300,211
1333,360,211
1334,420,211
1335,480,211
1336,540,211
1337,600,211
1338,660,211
1339,720,211
1340,780,211
1341,840,211
1342,900,211
1343,960,211
1344,1020,211
1311,60,271
1312,120,271
1313,180,271
1314,240,271
1315,300,271
1316,360,271
1317,420,271
1318,480,271
1319,540,271
1320,600,271
1321,660,271
1322,720,271
1323,780,271
1324,840,271
1325,900,271
1326,960,271
1327,1020,271
1294,60,331
1295,120,331
1296,180,331
1297,240,331
1298,300,331
1299,360,331
1300,420,331
1301,480,331
1302,540,331
1303,600,331
1304,660,331
1305,720,331
1306,780,331
1307,840,331
1308,900,331
1309,960,331
1310,1020,331
1277,60,391
1278,120,391
1279,180,391
1280,240,391
1281,300,391
1282,360,391
1283,420,391
1284,480,391
1285,540,391
1286,600,391
1287,660,391
1288,720,391
1289,780,391
1290,840,391
1291,900,391
1292,960,391
1293,1020,391
1260,60,451
1261,120,451
1262,180,451
1263,240,451
1264,300,451
1265,360,451
1266,420,451
1267,480,451
1268,540,451
1269,600,451
1270,660,451
1271,720,451
1272,780,451
1273,840,451
1274,900,451
1275,960,451
1276,1020,451
1243,60,511
1244,120,511
1245,180,511
1246,240,511
1247,300,511
1248,360,511
1249,420,511
1250,480,511
1251,540,511
1252,600,511
1253,660,511
1254,720,511
1255,780,511
1256,840,511
1257,900,511
1258,960,511
1259,1020,511
1226,60,571
1227,120,571
1228,180,571
1229,240,571
1230,300,571
1231,360,571
1232,420,571
1233,480,571
1234,540,571
1235,600,571
1236,660,571
1237,720,571
1238,780,571
1239,840,571
1240,900,571
1241,960,571
1242,1020,571
1209,60,631
1210,120,631
1211,180,631
1212,240,631
1213,300,631
1214,360,631
1215,420,631
1216,480,631
1217,540,631
1218,600,631
1219,660,631
1220,720,631
1221,780,631
1222,840,631
1223,900,631
1224,960,631
1225,1020,631
1192,60,691
1193,120,691
1194,180,691
1195,240,691
1196,300,691
1197,360,691
1198,420,691
1199,480,691
1200,540,691
1201,600,691
1202,660,691
1203,720,691
1204,780,691
1205,840,691
1206,900,691
1207,960,691
1208,1020,691
1175,60,751
1176,120,751
1177,180,751
1178,240,751
1179,300,751
1180,360,751
1181,420,751
1182,480,751
1183,540,751
1184,600,751
1185,660,751
1186,720,751
1187,780,751
1188,840,751
1189,900,751
1190,960,751
1191,1020,751
1158,60,811
1159,120,811
1160,180,811
1161,240,811
1162,300,811
1163,360,811
1164,420,811
1165,480,811
1166,540,811
1167,600,811
1168,660,811
1169,720,811
1170,780,811
1171,840,811
1172,900,811
1173,960,811
1174,1020,811
1141,60,871
1142,120,871
1143,180,871
1144,240,871
1145,300,871
1146,360,871
1147,420,871
1148,480,871
1149,540,871
1150,600,871
1151,660,871
1152,720,871
1153,780,871
1154,840,871
1155,900,871
1156,960,871
1157,1020,871
1124,60,931
1125,120,931
1126,180,931
1127,240,931
1128,300,931
1129,360,931
1130,420,931
1131,480,931
1132,540,931
1133,600,931
1134,660,931
1135,720,931
1136,780,931
1137,840,931
1138,900,931
1139,960,931
1140,1020,931
1107,60,991
1108,120,991
1109,180,991
1110,240,991
1111,300,991
1112,360,991
1113,420,991
1114,480,991
1115,540,991
1116,600,991
1117,660,991
1118,720,991
1119,780,991
1120,840,991
1121,900,991
1122,960,991
1123,1020,991
1090,60,1051
1091,120,1051
1092,180,1051
1093,240,1051
1094,300,1051
1095,360,1051
1096,420,1051
1097,480,1051
1098,540,1051
1099,600,1051
1100,660,1051
1101,720,1051
1102,780,1051
1103,840,1051
1104,900,1051
1105,960,1051
1106,1020,1051
1465,30,185
1466,150,185
1467,270,185
1468,390,185
1469,510,185
1470,630,185
1471,750,185
1472,870,185
1473,990,185
1474,90,245
1475,210,245
1476,330,245
1477,450,245
1478,570,245
1479,690,245
1480,810,245
1481,930,245
1482,1050,245
1483,30,305
1484,150,305
1485,270,305
1486,390,305
1487,510,305
1488,630,305
1489,750,305
1490,870,305
1491,990,305
1492,90,365
1493,210,365
1494,330,365
1495,450,365
1496,570,365
1497,690,365
1498,810,365
1499,930,365
1500,1050,365
1501,30,425
1502,150,425
1503,270,425
1504,390,425
1505,510,425
1506,630,425
1507,750,425
1508,870,425
1509,990,425
1510,90,485
1511,210,485
1512,330,485
1513,450,485
1514,570,485
1515,690,485
1516,810,485
1517,930,485
1518,1050,485
1519,30,545
1520,150,545
1521,270,545
1522,390,545
1523,510,545
1524,630,545
1525,750,545
1526,870,545
1527,990,545
1528,90,605
1529,210,605
1530,330,605
1531,450,605
1532,570,605
1533,690,605
1534,810,605
1535,930,605
1536,1050,605
1537,30,665
1538,150,665
1539,270,665
1540,390,665
1541,510,665
1542,630,665
1543,750,665
1544,870,665
1545,990,665
1546,90,725
1547,210,725
1548,330,725
1549,450,725
1550,570,725
1551,690,725
1552,810,725
1553,930,725
1554,1050,725
1555,30,785
1556,150,785
1557,270,785
1558,390,785
1559,510,785
1560,630,785
1561,750,785
1562,870,785
1563,990,785
1564,90,845
1565,210,845
1566,330,845
1567,450,845
1568,570,845
1569,690,845
1570,810,845
1571,930,845
1572,1050,845
1573,30,905
1574,150,905
1575,270,905
1576,390,905
1577,510,905
1578,630,905
1579,750,905
1580,870,905
1581,990,905
1582,90,965
1583,210,965
1584,330,965
1585,450,965
1586,570,965
1587,690,965
1588,810,965
1589,930,965
1590,1050,965
1591,30,1025
1592,150,1025
1593,270,1025
1594,390,1025
1595,510,1025
1596,630,1025
1597,750,1025
1598,870,1025
1599,990,1025
1089,60,1110
1088,120,1110
1087,180,1110
1086,240,1110
1085,300,1110
1084,360,1110
1083,420,1110
1082,480,1110
1081,540,1110
1080,600,1110
1079,660,1110
